age,workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income
48302,Adult,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,White,Male,Extended Work Hours,United-States,>50K
3927,Middle-aged Adult,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,Extended Work Hours,United-States,>50K
29144,Middle-aged Adult,Private,Some-college,Married-civ-spouse,Exec-managerial,Wife,White,Female,Extended Work Hours,United-States,>50K
13379,Teen,Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Female,Standard Full-time Work,United-States,<=50K
27300,Adult,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Sales,Husband,White,Male,Extended Work Hours,United-States,>50K
13354,Teen,Private,Some-college,Never-married,Other-service,Own-child,White,Female,Part-time Work,United-States,<=50K
574,Young Adult,Private,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,Heavy Overtime,United-States,<=50K
4047,Adult,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,Standard Full-time Work,United-States,<=50K
38648,Teen,Private,Bachelors,Never-married,Prof-specialty,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
24929,Young Adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,Black,Male,Extended Work Hours,United-States,<=50K
5197,Middle-aged Adult,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Reduced Full-time Work,United-States,<=50K
42623,Middle-aged Adult,Local-gov,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
8679,Young Adult,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
45861,Young Adult,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,Standard Full-time Work,United-States,<=50K
21245,Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
32735,Adult,Local-gov,Masters,Separated,Adm-clerical,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
40647,Adult,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,Peru,<=50K
48356,Middle-aged Adult,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,Part-time Work,United-States,>50K
8795,Middle-aged Adult,Private,7th-8th,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,>50K
34982,Adult,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,Extended Work Hours,United-States,<=50K
6253,Adult,Private,HS-grad,Widowed,Sales,Unmarried,White,Male,Standard Full-time Work,United-States,<=50K
21229,Young Adult,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,Reduced Full-time Work,United-States,<=50K
33922,Young Adult,Local-gov,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,Standard Full-time Work,United-States,<=50K
32860,Young Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Male,Extended Work Hours,United-States,<=50K
11736,Adult,Private,Bachelors,Divorced,Prof-specialty,Own-child,White,Female,Standard Full-time Work,United-States,<=50K
36424,Middle-aged Adult,Private,10th,Divorced,Machine-op-inspct,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
13896,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Reduced Full-time Work,United-States,>50K
42589,Teen,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
2954,Young Adult,Private,HS-grad,Never-married,Machine-op-inspct,Unmarried,Black,Female,Standard Full-time Work,United-States,<=50K
41615,Teen,Private,Some-college,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,Reduced Full-time Work,United-States,<=50K
43619,Teen,Private,HS-grad,Never-married,Tech-support,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
24218,Adult,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
1799,Middle-aged Adult,Private,7th-8th,Divorced,Sales,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
33642,Young Adult,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
12751,Adult,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,Standard Full-time Work,United-States,>50K
32561,Teen,Private,11th,Never-married,Machine-op-inspct,Own-child,Black,Male,Standard Full-time Work,United-States,<=50K
24825,Teen,Private,Some-college,Never-married,Tech-support,Other-relative,White,Female,Standard Full-time Work,United-States,<=50K
815,Adult,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,Heavy Overtime,Italy,<=50K
5540,Adult,Private,5th-6th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,Extended Work Hours,United-States,<=50K
16343,Adult,Private,Assoc-voc,Divorced,Prof-specialty,Not-in-family,White,Male,Extended Work Hours,United-States,<=50K
17656,Adult,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,Standard Full-time Work,United-States,>50K
36307,Teen,Private,Some-college,Never-married,Prof-specialty,Own-child,Black,Male,Reduced Full-time Work,Jamaica,<=50K
15606,Young Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
19329,Young Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Standard Full-time Work,United-States,<=50K
7571,Middle-aged Adult,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,Extended Work Hours,United-States,>50K
45239,Adult,Private,HS-grad,Divorced,Handlers-cleaners,Own-child,White,Female,Standard Full-time Work,United-States,<=50K
16071,Middle-aged Adult,State-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
41216,Teen,Private,Bachelors,Never-married,Tech-support,Own-child,White,Female,Standard Full-time Work,United-States,<=50K
33108,Young Adult,Private,Assoc-voc,Married-civ-spouse,Other-service,Husband,White,Male,Standard Full-time Work,United-States,<=50K
2447,Young Adult,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,Reduced Full-time Work,United-States,<=50K
13160,Young Adult,Private,Bachelors,Never-married,Transport-moving,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
28844,Teen,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,Male,Overtime Work,United-States,<=50K
34383,Middle-aged Adult,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,Male,Standard Full-time Work,United-States,>50K
4772,Elderly,Local-gov,Some-college,Divorced,Other-service,Other-relative,White,Female,Standard Full-time Work,United-States,>50K
46198,Teen,Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,Standard Full-time Work,United-States,<=50K
11451,Young Adult,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,White,Male,Part-time Work,United-States,<=50K
38983,Young Adult,Self-emp-not-inc,HS-grad,Never-married,Other-service,Not-in-family,White,Female,Standard Full-time Work,United-States,<=50K
3939,Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Overtime Work,United-States,<=50K
15788,Elderly,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,Standard Full-time Work,United-States,<=50K
19668,Adult,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,Extended Work Hours,United-States,<=50K
38336,Adult,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,Male,Standard Full-time Work,United-States,<=50K
